TripID	ArrivalTime	DepartureTimr	StopID	StopSequence
1207	4.583333333333333:00.0:00.0	4.583333333333333:00.0:00.0	450017207	1
1207	5.083333333333333:00.0:00.0	5.083333333333333:00.0:00.0	450030004	2
1207	5.666666666666667:00.0:00.0	5.666666666666667:00.0:00.0	450030220	3
1207	6.333333333333333:00.0:00.0	6.333333333333333:00.0:00.0	370070009	4
1209	6.416666666666667:00.0:00.0	6.416666666666667:00.0:00.0	450017207	1
1209	6.916666666666667:00.0:00.0	6.916666666666667:00.0:00.0	450030004	2
1209	7.5:00.0:00.0	7.5:00.0:00.0	450030220	3
1209	8.5:00.0:00.0	8.5:00.0:00.0	370070009	4
1211	7.75:00.0:00.0	7.75:00.0:00.0	450030220	1
1211	8.083333333333334:0-6.063298011819522e-14:00.0	8.083333333333334:0-6.063298011819522e-14:00.0	450024971	2
1211	8.5:00.0:00.0	8.5:00.0:00.0	370070009	3
1213	6.333333333333333:00.0:00.0	6.333333333333333:00.0:00.0	41000008NC67	1
1213	6.916666666666667:00.0:00.0	6.916666666666667:00.0:00.0	4100024PARWS	2
1213	7.5:00.0:00.0	7.5:00.0:00.0	079073001Z	3
J61	6.416666666666667:00.0:00.0	6.416666666666667:00.0:00.0	41000008NC67	1
J61	7.0:00.0:00.0	7.0:00.0:00.0	4100024PARWS	2
J61	7.666666666666667:00.0:00.0	7.666666666666667:00.0:00.0	079073001Z	3
J62	7.083333333333333:00.0:00.0	7.083333333333333:00.0:00.0	41000008NC67	1
J62	7.666666666666667:00.0:00.0	7.666666666666667:00.0:00.0	4100024PARWS	2
J62	8.25:00.0:00.0	8.25:00.0:00.0	079073001Z	3
1215	8.25:00.0:00.0	8.25:00.0:00.0	4100024PARWS	1
1215	8.916666666666666:06.063298011819522e-14:00.0	8.916666666666666:06.063298011819522e-14:00.0	079073001Z	2
1215	10.166666666666666:00.0:00.0	10.166666666666666:00.0:00.0	450030220	3
1215	10.833333333333334:00.0:00.0	10.833333333333334:00.0:00.0	370070009	4
1219	11.5:00.0:00.0	11.5:00.0:00.0	450030220	1
1219	12.166666666666666:00.0:00.0	12.166666666666666:00.0:00.0	370070009	2
1221	13.583333333333334:00.0:00.0	13.583333333333334:00.0:00.0	450030220	1
1221	14.25:00.0:00.0	14.25:00.0:00.0	370070009	2
1223	15.583333333333334:00.0:00.0	15.583333333333334:00.0:00.0	450030220	1
