trip_id,service_id,route_id,trip_headsign
1207,1207,l_M12_MEGA,M12_MEGA
1209,1209,l_M12_MEGA,M12_MEGA
1211,1211,l_M12_MEGA,M12_MEGA
1213,1213,l_M12_MEGA,M12_MEGA
J61,J61,l_M12_MEGA,M12_MEGA
J62,J62,l_M12_MEGA,M12_MEGA
1215,1215,l_M12_MEGA,M12_MEGA
1219,1219,l_M12_MEGA,M12_MEGA
1221,1221,l_M12_MEGA,M12_MEGA
1223,1223,l_M12_MEGA,M12_MEGA
1225,1225,l_M12_MEGA,M12_MEGA
1227,1227,l_M12_MEGA,M12_MEGA
1229,1229,l_M12_MEGA,M12_MEGA
1205,1205,l_M12_MEGA,M12_MEGA
J63,J63,l_M12_MEGA,M12_MEGA
1201,1201,l_M12_MEGA,M12_MEGA
1203,1203,l_M12_MEGA,M12_MEGA
J60,J60,l_M12_MEGA,M12_MEGA
1217,1217,l_M12_MEGA,M12_MEGA
J64,J64,l_M12_MEGA,M12_MEGA
1220,1220,l_M12_MEGA,M12_MEGA
J65,J65,l_M12_MEGA,M12_MEGA
1208,1208,l_M12_MEGA,M12_MEGA
J70,J70,l_M12_MEGA,M12_MEGA
1210,1210,l_M12_MEGA,M12_MEGA
J71,J71,l_M12_MEGA,M12_MEGA
1214,1214,l_M12_MEGA,M12_MEGA
1216,1216,l_M12_MEGA,M12_MEGA
J72,J72,l_M12_MEGA,M12_MEGA
1218,1218,l_M12_MEGA,M12_MEGA
J73,J73,l_M12_MEGA,M12_MEGA
J66,J66,l_M12_MEGA,M12_MEGA
1224,1224,l_M12_MEGA,M12_MEGA
J67,J67,l_M12_MEGA,M12_MEGA
1222,1222,l_M12_MEGA,M12_MEGA
1200,1200,l_M12_MEGA,M12_MEGA
J68,J68,l_M12_MEGA,M12_MEGA
1206,1206,l_M12_MEGA,M12_MEGA
J69,J69,l_M12_MEGA,M12_MEGA
